*Title	Scraped Price	Original Price	PicURL	*Description	Part Number	Car Brand	Manufacturer Part Number	Year	Car Model	Stock Number	VIN Number	NumbeVINr	*Category	*ConditionID	*Format	*Duration	*StartPrice	*Location	ShippingType	ShippingService-1:Option	ShippingService-1:Cost	*DispatchTimeMax	*ReturnsAcceptedOption	Compatibilities
2022-2024 NISSAN FRONTIER D41 FRONT LH OFF ROAD SUSPENSION STRUT SHOCK ABSORBER	$199.19	$199.19	https://i.ebayimg.com/images/g/lDkAAeSw9GBoeS8Z/s-l300.webp	OEM part from NISSAN FRONTIER D41 2022	NISSAN_6_7_1753242708	NISSAN	NISSAN_6_7_1753242708	2022	FRONTIER D41	NISSAN_6_7_1753242708	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$199.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	NISSAN FRONTIER D41 2022
2022-2023 HONDA PASSPORT OEM RADIO RECIEVER 39540TGSDD20M1	$150.00	$150.00	https://i.ebayimg.com/images/g/xncAAeSwDWVodgQc/s-l300.webp	OEM part from HONDA PASSPORT RADIO 2022	HONDA_6_8_1753242708	HONDA	HONDA_6_8_1753242708	2022	PASSPORT RADIO	HONDA_6_8_1753242708	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$150.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HONDA PASSPORT RADIO 2022
2021 - 2024 NISSAN MURANO OEM DASHBOARD WIRE WIRING HARNESS	$290.00	$290.00	https://i.ebayimg.com/images/g/K1EAAOSwOL1m6usI/s-l300.webp	OEM part from NISSAN MURANO DASHBOARD 2021	NISSAN_6_9_1753242709	NISSAN	NISSAN_6_9_1753242709	2021	MURANO DASHBOARD	NISSAN_6_9_1753242709	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$290.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	NISSAN MURANO DASHBOARD 2021
2018 - 2021 MERCEDES S63 A217 OEM RIGHT REAR SHOCK STRUT *20K* A2173207601	$360.00	$360.00	https://i.ebayimg.com/images/g/NY4AAOSwh4RkUUec/s-l300.webp	OEM part from MERCEDES S63 A217 2018	MERCEDES_6_10_1753242709	MERCEDES	MERCEDES_6_10_1753242709	2018	S63 A217	MERCEDES_6_10_1753242709	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$360.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MERCEDES S63 A217 2018
2019-2020 BMW M850i GRAN COUPE G16 LH 4.4L LEFT SIDE AIR INTAKE FILTER BOX *53K*	$115.21	$115.21	https://i.ebayimg.com/images/g/VAcAAeSwPyFof3pk/s-l300.webp	OEM part from BMW M850I 2019	BMW_6_11_1753242710	BMW	BMW_6_11_1753242710	2019	M850I	BMW_6_11_1753242710	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$115.21	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	BMW M850I 2019
2023-2024 HONDA PILOT OEM RH FRONT RIGHT & LEFT HEADREST SET (2) |BLACK W/ORANGE	$180.19	$180.19	https://i.ebayimg.com/images/g/634AAeSwpWtofmEL/s-l300.webp	OEM part from HONDA PILOT RH 2023	HONDA_6_12_1753242710	HONDA	HONDA_6_12_1753242710	2023	PILOT RH	HONDA_6_12_1753242710	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$180.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HONDA PILOT RH 2023
2023 - 2024 CADILLAC LYRIQ OEM AWD REAR RIGHT KNUCKLE SPINDLE WHEEL HUB	$200.02	$200.02	https://i.ebayimg.com/images/g/tJAAAOSwBm9mzfDk/s-l300.webp	OEM part from CADILLAC LYRIQ AWD 2023	CADILLAC_6_13_1753242711	CADILLAC	CADILLAC_6_13_1753242711	2023	LYRIQ AWD	CADILLAC_6_13_1753242711	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	CADILLAC LYRIQ AWD 2023
2017-2020 MASERATI LEVANTE M161 OEM 20X9 5 WHEEL RIM 670044701	$180.00	$180.00	https://i.ebayimg.com/images/g/imkAAOSwHgdns4Qs/s-l300.webp	OEM part from MASERATI LEVANTE M161 2017	MASERATI_6_16_1753242711	MASERATI	MASERATI_6_16_1753242711	2017	LEVANTE M161	MASERATI_6_16_1753242711	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$180.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MASERATI LEVANTE M161 2017
2019 - 2023 GENESIS G70 FRONT LEFT UPPER BACKREST ASSEMBLY	$185.00	$185.00	https://i.ebayimg.com/images/g/KEYAAOSwbQ9nmlha/s-l300.webp	OEM part from Unknown Make UNKNOWN 2019	Unknown Make_6_17_1753242712	Unknown Make	Unknown Make_6_17_1753242712	2019	UNKNOWN	Unknown Make_6_17_1753242712	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$185.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2019
2020-2024 MINI COUNTRYMAN COOPER S F60 AUTO TRANSMISSION FLOOR GEAR LEVER W/KNOB	$295.55	$295.55	https://i.ebayimg.com/images/g/XJEAAOSw895nyxnl/s-l300.webp	OEM part from Unknown Make UNKNOWN 2020	Unknown Make_6_18_1753242712	Unknown Make	Unknown Make_6_18_1753242712	2020	UNKNOWN	Unknown Make_6_18_1753242712	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$295.55	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2020
2019-2020 AUDI Q8 4MN OEM STEERING COLUMN W/ ELECTRIC ADJUSTMENT	$200.02	$200.02	https://i.ebayimg.com/images/g/yyAAAOSwLK5oLdGW/s-l300.webp	OEM part from AUDI Q8 4MN 2019	AUDI_6_19_1753242713	AUDI	AUDI_6_19_1753242713	2019	Q8 4MN	AUDI_6_19_1753242713	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	AUDI Q8 4MN 2019
2022 LINCOLN NAVIGATOR OEM CABIN BODY CONTROL MODULE BCU FUST RELAY BOX ASSEMBLY	$220.02	$220.02	https://i.ebayimg.com/images/g/UdYAAeSwj~RoeOFX/s-l300.webp	OEM part from LINCOLN NAVIGATOR CABIN 2022	LINCOLN_6_20_1753242713	LINCOLN	LINCOLN_6_20_1753242713	2022	NAVIGATOR CABIN	LINCOLN_6_20_1753242713	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$220.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	LINCOLN NAVIGATOR CABIN 2022
2020-2025 MAZDA CX-5 OEM REAR LEFT DRIVER SIDE AXLE SHAFT HALF SHAFT LH	$219.05	$219.05	https://i.ebayimg.com/images/g/pNAAAeSw62doeSmj/s-l300.webp	OEM part from MAZDA CX-5 REAR 2020	MAZDA_6_21_1753242714	MAZDA	MAZDA_6_21_1753242714	2020	CX-5 REAR	MAZDA_6_21_1753242714	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$219.05	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MAZDA CX-5 REAR 2020
2024 HYUNDAI SANTA FE OEM REAR TAILGATE MOUNTED SURROUND VIEW CAMERA W/ WIRE	$104.99	$104.99	https://i.ebayimg.com/images/g/GoQAAeSw-19oZ0cv/s-l300.webp	OEM part from HYUNDAI SANTA FE 2024	HYUNDAI_6_22_1753242714	HYUNDAI	HYUNDAI_6_22_1753242714	2024	SANTA FE	HYUNDAI_6_22_1753242714	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$104.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HYUNDAI SANTA FE 2024
2024 ACURA ZDX FRONT RIGHT PASSENGER &LEFT DRIVER SIDE DISC BRAKE CALIPER PAIR 2	$200.02	$200.02	https://i.ebayimg.com/images/g/N7QAAOSw6N5oNHoG/s-l300.webp	OEM part from ACURA ZDX FRONT 2024	ACURA_6_23_1753242715	ACURA	ACURA_6_23_1753242715	2024	ZDX FRONT	ACURA_6_23_1753242715	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	ACURA ZDX FRONT 2024
2021-2024 FORD F150 REAR RIGHT PASSENGER SIDE DOOR ASSEMBLY |GRAY (M7) *SCRATCH*	$880.19	$880.19	https://i.ebayimg.com/images/g/9TkAAeSwRidobUFx/s-l300.webp	OEM part from FORD F150 2021	FORD_6_24_1753242715	FORD	FORD_6_24_1753242715	2021	F150	FORD_6_24_1753242715	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$880.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	FORD F150 2021
2023 FISKER OCEAN OEM LH REAR LEFT FENDER FLARE MOLDING *SCRATCHES*	$214.55	$214.55	https://i.ebayimg.com/images/g/su4AAOSw3jVoNGRy/s-l300.webp	OEM part from FISKER OCEAN LH 2023	FISKER_6_26_1753242716	FISKER	FISKER_6_26_1753242716	2023	OCEAN LH	FISKER_6_26_1753242716	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$214.55	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	FISKER OCEAN LH 2023
2010 - 2016 PORSCHE PANAMERA OEM REAR RIGHT LOWER SEAT CUSHION	$90.00	$90.00	https://i.ebayimg.com/images/g/fFUAAOSwKI5lgdGW/s-l300.webp	OEM part from PORSCHE PANAMERA REAR 2010	PORSCHE_6_27_1753242716	PORSCHE	PORSCHE_6_27_1753242716	2010	PANAMERA REAR	PORSCHE_6_27_1753242716	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$90.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	PORSCHE PANAMERA REAR 2010
2023-2024 HONDA PILOT AUTO DIMMING REARVIEW MIRROR W/ GARAGE DOOR OPENER *READ*	$199.19	$199.19	https://i.ebayimg.com/images/g/4~EAAeSwiI9ofmEi/s-l300.webp	OEM part from HONDA PILOT AUTO 2023	HONDA_6_28_1753242717	HONDA	HONDA_6_28_1753242717	2023	PILOT AUTO	HONDA_6_28_1753242717	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$199.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HONDA PILOT AUTO 2023
2023 FISKER OCEAN OEM REAR TRUNK LID SPOILER W/ 3RD BRAKE LIGHT CAMERA *SCRATCH*	$410.00	$410.00	https://i.ebayimg.com/images/g/W-sAAOSw3RVnKNbr/s-l300.webp	OEM part from FISKER OCEAN REAR 2023	FISKER_6_29_1753242717	FISKER	FISKER_6_29_1753242717	2023	OCEAN REAR	FISKER_6_29_1753242717	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$410.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	FISKER OCEAN REAR 2023
2021 - 2022 KIA SORENTO OEM WIRING HARNESS ASSEMBLY BODY FLOOR 91501R5170	$250.00	$250.00	https://i.ebayimg.com/images/g/1vsAAOSw~MJj9Pcq/s-l300.webp	OEM part from KIA SORENTO WIRING 2021	KIA_6_30_1753242718	KIA	KIA_6_30_1753242718	2021	SORENTO WIRING	KIA_6_30_1753242718	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$250.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	KIA SORENTO WIRING 2021
2022-2024 MERCEDES EQB X243 INTERIOR REAR VIEW MIRROR W/ AUTO DIMMING 2478103910	$214.55	$214.55	https://i.ebayimg.com/images/g/djQAAeSwwY9oeSV5/s-l300.webp	OEM part from MERCEDES EQB X243 2022	MERCEDES_6_31_1753242718	MERCEDES	MERCEDES_6_31_1753242718	2022	EQB X243	MERCEDES_6_31_1753242718	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$214.55	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MERCEDES EQB X243 2022
2022 - 2024 INFINITI QX60 OEM REAR RIGHT QUARTER PANEL TINTED GLASS WINDOW	$250.00	$250.00	https://i.ebayimg.com/images/g/hx8AAOSwwNhnJSuo/s-l300.webp	OEM part from INFINITI QX60 REAR 2022	INFINITI_6_32_1753242719	INFINITI	INFINITI_6_32_1753242719	2022	QX60 REAR	INFINITI_6_32_1753242719	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$250.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	INFINITI QX60 REAR 2022
2019-2022 FORD F250 OEM LH REAR LEFT INNER DOOR TRIM PANEL | BLACK *SCUFFS*	$199.99	$199.99	https://i.ebayimg.com/images/g/~l0AAeSwBv5ofm~e/s-l300.webp	OEM part from FORD F250 2019	FORD_6_33_1753242719	FORD	FORD_6_33_1753242719	2019	F250	FORD_6_33_1753242719	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$199.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	FORD F250 2019
2021-2024 NISSAN ARMADA FRONT RIGHT SEAT HEADREST W/ DISPLAY SCREEN | BROWN (X)	$249.99	$249.99	https://i.ebayimg.com/images/g/y3QAAeSwxD9od~Xy/s-l300.webp	OEM part from NISSAN ARMADA FRONT 2021	NISSAN_6_34_1753242720	NISSAN	NISSAN_6_34_1753242720	2021	ARMADA FRONT	NISSAN_6_34_1753242720	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$249.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	NISSAN ARMADA FRONT 2021
2023-2024 HONDA PILOT OEM STEERING COLUMN CLOCKSPRING W/ WIPER TURN COMBO SWITCH	$135.19	$135.19	https://i.ebayimg.com/images/g/xJMAAeSwvdhofl1U/s-l300.webp	OEM part from HONDA PILOT STEERING 2023	HONDA_6_35_1753242720	HONDA	HONDA_6_35_1753242720	2023	PILOT STEERING	HONDA_6_35_1753242720	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$135.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HONDA PILOT STEERING 2023
2022-2024 FORD MAVERICK OEM LEFT FRONT SEAT ADJUST CONTROL SWITCH LJ8T14B709	$65.00	$65.00	https://i.ebayimg.com/images/g/UAMAAOSw2-xnI63E/s-l300.webp	OEM part from FORD MAVERICK LEFT 2022	FORD_6_37_1753242721	FORD	FORD_6_37_1753242721	2022	MAVERICK LEFT	FORD_6_37_1753242721	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$65.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	FORD MAVERICK LEFT 2022
2020 HYUNDAI PALISADE OEM 3.8L AWD FRONT DASHBOARD WIRING HARNESS 91140S8960	$260.00	$260.00	https://i.ebayimg.com/images/g/mNoAAOSw8exmL8EL/s-l300.webp	OEM part from HYUNDAI PALISADE 3.8L 2020	HYUNDAI_6_38_1753242721	HYUNDAI	HYUNDAI_6_38_1753242721	2020	PALISADE 3.8L	HYUNDAI_6_38_1753242721	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$260.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HYUNDAI PALISADE 3.8L 2020
2018 BMW M550i G30 OEM DRIVER ASSIST SURROUND VIEW CAMERA CONTROL MODULE	$200.00	$200.00	https://i.ebayimg.com/images/g/HEAAAOSwXGBmNCN3/s-l300.webp	OEM part from BMW M550I 2018	BMW_6_39_1753242722	BMW	BMW_6_39_1753242722	2018	M550I	BMW_6_39_1753242722	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	BMW M550I 2018
2023-2025 KIA SPORTAGE OEM 7.5X19 WHEEL RIM | BLACK MACHINED 52910DW300 *SCRAPE*	$249.99	$249.99	https://i.ebayimg.com/images/g/0tQAAOSw9UBoXW~d/s-l300.webp	OEM part from KIA SPORTAGE 7.5X19 2023	KIA_6_40_1753242722	KIA	KIA_6_40_1753242722	2023	SPORTAGE 7.5X19	KIA_6_40_1753242722	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$249.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	KIA SPORTAGE 7.5X19 2023
2024 MAZDA CX-90 OEM 3.3L EGR EXHAUST SYSTEM VALVE COOLER H3012030Y *3K MILES*	$229.99	$229.99	https://i.ebayimg.com/images/g/BP0AAOSwRvFoC36c/s-l300.webp	OEM part from MAZDA CX-90 3.3L 2024	MAZDA_6_41_1753242723	MAZDA	MAZDA_6_41_1753242723	2024	CX-90 3.3L	MAZDA_6_41_1753242723	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$229.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MAZDA CX-90 3.3L 2024
2023-2024 HONDA HR-V OEM POWER BRAKE iBOOSTER ASSEMBLY 1K MILES 460003W0	$229.00	$229.00	https://i.ebayimg.com/images/g/nTUAAOSwX-NleMqd/s-l300.webp	OEM part from HONDA HR-V POWER 2023	HONDA_6_42_1753242723	HONDA	HONDA_6_42_1753242723	2023	HR-V POWER	HONDA_6_42_1753242723	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$229.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HONDA HR-V POWER 2023
2013-2019 RANGE ROVER L405 OEM FRONT LEFT AUXILIARY RADIATOR *65K MILES*	$200.02	$200.02	https://i.ebayimg.com/images/g/CncAAOSwvvRoHmAS/s-l300.webp	OEM part from Unknown Make UNKNOWN 2013	Unknown Make_6_43_1753242724	Unknown Make	Unknown Make_6_43_1753242724	2013	UNKNOWN	Unknown Make_6_43_1753242724	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2013
2024-2025 ACURA ZDX OEM REAR SEAT LOWER BENCH CUSHION | EBONY W/ RED STITCHING	$275.02	$275.02	https://i.ebayimg.com/images/g/QYEAAOSw39VoNHcJ/s-l300.webp	OEM part from ACURA ZDX REAR 2024	ACURA_6_44_1753242724	ACURA	ACURA_6_44_1753242724	2024	ZDX REAR	ACURA_6_44_1753242724	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$275.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	ACURA ZDX REAR 2024
2024 LINCOLN CORSAIR OEM TELEMATICS COMMUNICATION CONTROL MODULE RJ6T14H076	$120.19	$120.19	https://i.ebayimg.com/images/g/K3cAAOSw2z9oWvgf/s-l300.webp	OEM part from LINCOLN CORSAIR TELEMATICS 2024	LINCOLN_6_45_1753242725	LINCOLN	LINCOLN_6_45_1753242725	2024	CORSAIR TELEMATICS	LINCOLN_6_45_1753242725	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$120.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	LINCOLN CORSAIR TELEMATICS 2024
2019 - 2021 BMW 330i G20 OEM HARMAN BECKER AMPLIFIER MODULE 6512R3792858301	$190.00	$190.00	https://i.ebayimg.com/images/g/zVUAAeSwPrFodRdd/s-l300.webp	OEM part from BMW 330I 2019	BMW_6_46_1753242725	BMW	BMW_6_46_1753242725	2019	330I	BMW_6_46_1753242725	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$190.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	BMW 330I 2019
2022 TOYOTA TUNDRA OEM LOWER CONSOLE HAZARD SWITCH & PARKING BRAKE W/ TRIM	$120.00	$120.00	https://i.ebayimg.com/images/g/oecAAOSwBLBloA2f/s-l300.webp	OEM part from TOYOTA TUNDRA LOWER 2022	TOYOTA_6_47_1753242726	TOYOTA	TOYOTA_6_47_1753242726	2022	TUNDRA LOWER	TOYOTA_6_47_1753242726	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$120.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	TOYOTA TUNDRA LOWER 2022
2021-2023 GENESIS GV80 RIGHT 3.5L AWD ENGINE MOTOR MOUNT *93K MILES* 21850T6200	$99.55	$99.55	https://i.ebayimg.com/images/g/wwsAAOSwB5doSgid/s-l300.webp	OEM part from Unknown Make UNKNOWN 2021	Unknown Make_6_48_1753242726	Unknown Make	Unknown Make_6_48_1753242726	2021	UNKNOWN	Unknown Make_6_48_1753242726	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$99.55	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2021
2021 - 2023 MERCEDES GLA45 AMG H247 RIGHT FRONT SPINDLE KUCKLE WHEEL HUB	$200.02	$200.02	https://i.ebayimg.com/images/g/z30AAOSwflBnir3D/s-l300.webp	OEM part from MERCEDES GLA45 AMG 2021	MERCEDES_6_49_1753242727	MERCEDES	MERCEDES_6_49_1753242727	2021	GLA45 AMG	MERCEDES_6_49_1753242727	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$200.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MERCEDES GLA45 AMG 2021
2015 - 2023 NISSAN MURANO OEM INTERIOR REAR VIEW MIRROR W/ HOMELINK	$35.00	$35.00	https://i.ebayimg.com/images/g/sT0AAOSwSTFmx6~w/s-l300.webp	OEM part from NISSAN MURANO INTERIOR 2015	NISSAN_6_50_1753242727	NISSAN	NISSAN_6_50_1753242727	2015	MURANO INTERIOR	NISSAN_6_50_1753242727	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$35.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	NISSAN MURANO INTERIOR 2015
2020 HYUNDAI SANTA FE OEM RIGHT HEATED DOOR MIRROR W/ BLIS+CAMERA+TURN SINNAL	$238.00	$238.00	https://i.ebayimg.com/images/g/mwcAAeSwLKhoZW6C/s-l300.webp	OEM part from HYUNDAI SANTA FE 2020	HYUNDAI_6_51_1753242728	HYUNDAI	HYUNDAI_6_51_1753242728	2020	SANTA FE	HYUNDAI_6_51_1753242728	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$238.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	HYUNDAI SANTA FE 2020
2022 MITSUBISHI OUTLANDER OEM RH 2ND ROW SEAT BELT RETRACTOR SET (2) *58K MILES*	$269.89	$269.89	https://i.ebayimg.com/images/g/0PcAAeSwq9poelSA/s-l300.webp	OEM part from MITSUBISHI OUTLANDER RH 2022	MITSUBISHI_6_52_1753242728	MITSUBISHI	MITSUBISHI_6_52_1753242728	2022	OUTLANDER RH	MITSUBISHI_6_52_1753242728	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$269.89	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	MITSUBISHI OUTLANDER RH 2022
2022-2024 NISSAN PATHFINDER REAR FUEL TANK DOOR LID W/ POCKET (NBL) *SCRATCH*	$119.55	$119.55	https://i.ebayimg.com/images/g/pIEAAOSweONoH4Nk/s-l300.webp	OEM part from NISSAN PATHFINDER REAR 2022	NISSAN_6_53_1753242729	NISSAN	NISSAN_6_53_1753242729	2022	PATHFINDER REAR	NISSAN_6_53_1753242729	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$119.55	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	NISSAN PATHFINDER REAR 2022
2021 CHEVY TAHOE OEM 5.3L V8 2WD A/T LT TRIM CABIN BODY HARNESS COMPLETE LOOM	$350.00	$350.00	https://i.ebayimg.com/images/g/hRoAAOSwel5lpV7c/s-l300.webp	OEM part from Unknown Make UNKNOWN 2021	Unknown Make_6_54_1753242729	Unknown Make	Unknown Make_6_54_1753242729	2021	UNKNOWN	Unknown Make_6_54_1753242729	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$350.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2021
2020-2024 LINCOLN CORSAIR 2.0L FWD POWER STEERING GEAR RACK W/O LEFT TIE ROD *4K	$299.19	$299.19	https://i.ebayimg.com/images/g/W8wAAOSw1stoXe20/s-l300.webp	OEM part from LINCOLN CORSAIR 2.0L 2020	LINCOLN_6_55_1753242730	LINCOLN	LINCOLN_6_55_1753242730	2020	CORSAIR 2.0L	LINCOLN_6_55_1753242730	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$299.19	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	LINCOLN CORSAIR 2.0L 2020
2020 - 2023 GENESIS G70 OEM 2.0L RWD REAR RIGHT STRUT SHOCK ABSORBER *2K MILES*	$110.00	$110.00	https://i.ebayimg.com/images/g/T3AAAOSwJMZmWmDz/s-l300.webp	OEM part from Unknown Make UNKNOWN 2020	Unknown Make_6_56_1753242730	Unknown Make	Unknown Make_6_56_1753242730	2020	UNKNOWN	Unknown Make_6_56_1753242730	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$110.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	Unknown Make UNKNOWN 2020
2013-2020 LEXUS GS350 OEM ENGINE COMPUTER ECM 896613AJ22	$329.99	$329.99	https://i.ebayimg.com/images/g/aIAAAOSwNbNnhoeW/s-l300.webp	OEM part from LEXUS GS350 ENGINE 2013	LEXUS_6_57_1753242731	LEXUS	LEXUS_6_57_1753242731	2013	GS350 ENGINE	LEXUS_6_57_1753242731	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$329.99	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	LEXUS GS350 ENGINE 2013
2024-2025 ACURA ZDX OEM SRS DIAGNOSTIC RESTRAINT CONTROL MODULE 13549836 *PARTS*	$250.02	$250.02	https://i.ebayimg.com/images/g/TXUAAOSwRV5oLIEb/s-l300.webp	OEM part from ACURA ZDX SRS 2024	ACURA_6_59_1753242731	ACURA	ACURA_6_59_1753242731	2024	ZDX SRS	ACURA_6_59_1753242731	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$250.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	ACURA ZDX SRS 2024
2024-2025 ACURA ZDX FRONT RIGHT PASSENGER SIDE DOOR INTERIOR TRIM PANEL | EBONY	$400.02	$400.02	https://i.ebayimg.com/images/g/Uo0AAOSwW9BoLIFL/s-l300.webp	OEM part from ACURA ZDX FRONT 2024	ACURA_6_60_1753242732	ACURA	ACURA_6_60_1753242732	2024	ZDX FRONT	ACURA_6_60_1753242732	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$400.02	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	ACURA ZDX FRONT 2024
2018 - 2022 BUICK ENCLAVE OEM 3.6L FWD POWER STEERING GEAR RACK & PINION *14K *	$190.00	$190.00	https://i.ebayimg.com/images/g/mn8AAOSww1BmDaNA/s-l300.webp	OEM part from BUICK ENCLAVE 3.6L 2018	BUICK_6_61_1753242732	BUICK	BUICK_6_61_1753242732	2018	ENCLAVE 3.6L	BUICK_6_61_1753242732	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$190.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	BUICK ENCLAVE 3.6L 2018
2020 TOYOTA SIENNA OEM 3.5L DASH PANEL WIRING HARNESS 8214108L02	$185.00	$185.00	https://i.ebayimg.com/images/g/h0oAAOSwAx5lfKnd/s-l300.webp	OEM part from TOYOTA SIENNA 3.5L 2020	TOYOTA_6_62_1753242733	TOYOTA	TOYOTA_6_62_1753242733	2020	SIENNA 3.5L	TOYOTA_6_62_1753242733	Not found	Not found	Auto Parts	Used	FixedPrice	GTC	$185.00	US	Flat	USPSFirstClass	29.98	3	ReturnsAccepted	TOYOTA SIENNA 3.5L 2020
